ከሰበርሻት ክኧስኧብኧርእሽኣትእ
ስትሰባብሪያት ስእትእስኧብኣብእርኢይኣትእ
እንደሰበራችኋት እእንእድኧስኧብኧርኣችእኋትእ
ሰብራችሁበት ስኧብእርኣችእህኡብኧትእ
ሰበርንሎት ስኧብኧርእንእልኦትእ
ስሰብረው ስእስኧብእርኧውእ
ስበርብኝ ስእብኧርእብእኝእ
እስክሰብራት እእስእክእስኧብእርኣትእ
እንደሰበርኩ እእንእድኧስኧብኧርእክኡ
ስሰብራቸው ስእስኧብእርኣችኧውእ
ከሰበርከው ክኧስኧብኧርእክኧውእ
ኣልሰብርህ እኣልእስኧብእርእህእ
ከምትሰብሪለት ክኧምእትእስኧብእርኢልኧትእ
ሰባብረን ስኧብኣብእርኧንእ
ሰብረንላቸው ስኧብእርኧንእልኣችኧውእ
ስበሩልኝ ስእብኧርኡልእኝእ
ትሰባብራታለህ ትእስኧብኣብእርኣትኣልኧህእ
ሰበርኩ ስኧብኧርእክኡ
ትሰባብረኛለህ ትእስኧብኣብእርኧኝኣልኧህእ
ትሰብሩዋቸዋላችሁ ትእስኧብእርኡውኣችኧውኣልኣችእህኡ
ሰበራችሁብን ስኧብኧርኣችእህኡብእንእ
ከምንሰብርልዎት ክኧምእንእስኧብእርእልእውኦትእ
ሰብሬላት ስኧብእርኤልኣትእ
ብትሰባብረው ብእትእስኧብኣብእርኧውእ
ከምሰባብራችሁ ክኧምእስኧብኣብእርኣችእህኡ
ኣትሰባብሪም እኣትእስኧብኣብእርኢምእ
ሰባብሪያት ስኧብኣብእርኢይኣትእ
ሰብረሻቸው ስኧብእርኧሽኣችኧውእ
ልትሰብረን ልእትእስኧብእርኧንእ
ኣትስበሪን እኣትእስእብኧርኢንእ
እስክንሰብርህ እእስእክእንእስኧብእርእህእ
ለሰበርናችሁ ልኧስኧብኧርእንኣችእህኡ
ለሰበርከው ልኧስኧብኧርእክኧውእ
ሰብራችኋል ስኧብእርኣችእኋልእ
ብትሰባብሩት ብእትእስኧብኣብእርኡትእ
ትሰባብሯቸዋላችሁ ትእስኧብኣብእሯችኧውኣልኣችእህኡ
ስበሩልን ስእብኧርኡልእንእ
እንድሰባብርሽ እእንእድእስኧብኣብእርእሽእ
እስክትሰብሩበት እእስእክእትእስኧብእርኡብኧትእ
ለሰበርኩዋት ልኧስኧብኧርእክኡውኣትእ
ከምትሰብሪባቸው ክኧምእትእስኧብእርኢብኣችኧውእ
ኣንሰብራችሁም እኣንእስኧብእርኣችእህኡምእ
ብሰባብራቸው ብእስኧብኣብእርኣችኧውእ
ከሰበርከን ክኧስኧብኧርእክኧንእ
እንስበርበት እእንእስእብኧርእብኧትእ
ሰብረህብን ስኧብእርኧህእብእንእ
እሰባብርሃለሁ እእስኧብኣብእርእህኣልኧህኡ
ስትሰብር ስእትእስኧብእርእ
ሰበርሬሻለሁ ስኧብኧርእርኤሽኣልኧህኡ
እንድትሰባብረው እእንእድእትእስኧብኣብእርኧውእ
ብሰብርዎት ብእስኧብእርእውኦትእ
ብትሰባብራቸው ብእትእስኧብኣብእርኣችኧውእ
ሰብሬያቸው ስኧብእርኤይኣችኧውእ
ስበሩዋቸው ስእብኧርኡውኣችኧውእ
ሰብረሽን ስኧብእርኧሽእንእ
ሰበርሽለት ስኧብኧርእሽእልኧትእ
ስትሰባብሩዋቸው ስእትእስኧብኣብእርኡውኣችኧውእ
ስበራቸው ስእብኧርኣችኧውእ
ሰብረንላችሁ ስኧብእርኧንእልኣችእህኡ
ስበሪላት ስእብኧርኢልኣትእ
ሰብራችሁናል ስኧብእርኣችእህኡንኣልእ
ከምትሰብርብን ክኧምእትእስኧብእርእብእንእ
እንድንሰብራችሁ እእንእድእንእስኧብእርኣችእህኡ
ስበሪባቸው ስእብኧርኢብኣችኧውእ
ከምትሰብሩልኝ ክኧምእትእስኧብእርኡልእኝእ
ከምትሰብርልኝ ክኧምእትእስኧብእርእልእኝእ
ሰብሬልሽ ስኧብእርኤልእሽእ
እስክሰብርላት እእስእክእስኧብእርእልኣትእ
ብትሰባብሯት ብእትእስኧብኣብእሯትእ
ከምሰብርባት ክኧምእስኧብእርእብኣትእ
እስክትሰብሪን እእስእክእትእስኧብእርኢንእ
ስትሰብሪ ስእትእስኧብእርኢ
ኣትሰበሩልን እኣትእስኧብኧርኡልእንእ
ሰባብረነው ስኧብኣብእርኧንኧውእ
ሰበርንለት ስኧብኧርእንእልኧትእ
ኣትሰባብሩዋቸውም እኣትእስኧብኣብእርኡውኣችኧውእምእ
ልስበርልዎት ልእስእብኧርእልእውኦትእ
ከምንሰብርበት ክኧምእንእስኧብእርእብኧትእ
ለሰበርኳት ልኧስኧብኧርእኳትእ
ብሰባብር ብእስኧብኣብእርእ
ብትሰብራት ብእትእስኧብእርኣትእ
ኣትሰብሩት እኣትእስኧብእርኡትእ
እንደሰበርከን እእንእድኧስኧብኧርእክኧንእ
ትሰብረኛለህ ትእስኧብእርኧኝኣልኧህእ
ስትሰባብሪኝ ስእትእስኧብኣብእርኢኝእ
ትሰባብሩታላችሁ ትእስኧብኣብእርኡትኣልኣችእህኡ
ሰብረህባት ስኧብእርኧህእብኣትእ
ሰበራችሁብኝ ስኧብኧርኣችእህኡብእኝእ
እስክንሰብራት እእስእክእንእስኧብእርኣትእ
ሰብራችሁብኝ ስኧብእርኣችእህኡብእኝእ
ሰበርንላቸው ስኧብኧርእንእልኣችኧውእ
ሰበርከው ስኧብኧርእክኧውእ
ኣትስበሩዋቸው እኣትእስእብኧርኡውኣችኧውእ
ከምትሰብሩለት ክኧምእትእስኧብእርኡልኧትእ
ሰባብረሀኝ ስኧብኣብእርኧህኧኝእ
ሰበርክባቸው ስኧብኧርእክእብኣችኧውእ
ሰበርክበት ስኧብኧርእክእብኧትእ
ከምትሰብሪን ክኧምእትእስኧብእርኢንእ
ብሰብርህ ብእስኧብእርእህእ
ልትሰብሪው ልእትእስኧብእርኢውእ
ሰብረንሻል ስኧብእርኧንእሽኣልእ
ስትሰባብራት ስእትእስኧብኣብእርኣትእ
እስክንሰብርብህ እእስእክእንእስኧብእርእብእህእ
እንደሰበርከኝ እእንእድኧስኧብኧርእክኧኝእ
እስክትሰብርባቸው እእስእክእትእስኧብእርእብኣችኧውእ
ብትሰብሯት ብእትእስኧብእሯትእ
ከምትሰባብሩኝ ክኧምእትእስኧብኣብእርኡኝእ
እስክትሰብሩባት እእስእክእትእስኧብእርኡብኣትእ
ሰብሬላቸው ስኧብእርኤልኣችኧውእ
ኣትሰብራቸውም እኣትእስኧብእርኣችኧውእምእ
ልንሰብርዎት ልእንእስኧብእርእውኦትእ
ሰባብሩን ስኧብኣብእርኡንእ
ሰባብር ስኧብኣብእርእ
ከምሰብርብህ ክኧምእስኧብእርእብእህእ
ኣልሰበርኩሽ እኣልእስኧብኧርእክኡሽእ
እንድትሰባብሪ እእንእድእትእስኧብኣብእርኢ
ለሰበርሻት ልኧስኧብኧርእሽኣትእ
ሰባብረሽው ስኧብኣብእርኧሽእውእ
ስንሰባብራችሁ ስእንእስኧብኣብእርኣችእህኡ
እስክትሰባብሩ እእስእክእትእስኧብኣብእርኡ
ኣንሰብራትም እኣንእስኧብእርኣትእምእ
ኣይሰበሩልን እኣይእስኧብኧርኡልእንእ
ከምትሰብሩብኝ ክኧምእትእስኧብእርኡብእኝእ
ከምንሰብርሽ ክኧምእንእስኧብእርእሽእ
እሰባብራችኋለሁ እእስኧብኣብእርኣችእኋልኧህኡ
ከምትሰባብሪኝ ክኧምእትእስኧብኣብእርኢኝእ
ሰበራችኋት ስኧብኧርኣችእኋትእ
ስንሰባብር ስእንእስኧብኣብእርእ
ስበሯት ስእብኧሯትእ
ስበሩብን ስእብኧርኡብእንእ
ከምትሰብሯት ክኧምእትእስኧብእሯትእ
ስበሪያት ስእብኧርኢይኣትእ
ኣትሰብሩ እኣትእስኧብእርኡ
ልስበርሽ ልእስእብኧርእሽእ
ሰብረናል ስኧብእርኧንኣልእ
ከሰበራችሁ ክኧስኧብኧርኣችእህኡ
እንድትሰባብሪያቸው እእንእድእትእስኧብኣብእርኢይኣችኧውእ
ከሰበርሽን ክኧስኧብኧርእሽእንእ
ከምሰብርላት ክኧምእስኧብእርእልኣትእ
ከምሰብርልሽ ክኧምእስኧብእርእልእሽእ
ሰብረሃታል ስኧብእርኧህኣትኣልእ
ሰብራችሁልኝ ስኧብእርኣችእህኡልእኝእ
ከምትሰባብሪ ክኧምእትእስኧብኣብእርኢ
ትሰባብሪናለሽ ትእስኧብኣብእርኢንኣልኧሽእ
ስትሰባብረው ስእትእስኧብኣብእርኧውእ
እንድትሰባብሩት እእንእድእትእስኧብኣብእርኡትእ
ትሰባብራላችሁ ትእስኧብኣብእርኣልኣችእህኡ
ትሰብራቸዋለህ ትእስኧብእርኣችኧውኣልኧህእ
ሰበርክላት ስኧብኧርእክእልኣትእ
እስክንሰብርባት እእስእክእንእስኧብእርእብኣትእ
ኣትሰብሪያትም እኣትእስኧብእርኢይኣትእምእ
ሰብረናችኋል ስኧብእርኧንኣችእኋልእ
ልስበርዎት ልእስእብኧርእውኦትእ
ከሰበርኩሽ ክኧስኧብኧርእክኡሽእ
እስክንሰብርለት እእስእክእንእስኧብእርእልኧትእ
ለሰበርካቸው ልኧስኧብኧርእክኣችኧውእ
ሰበርናቸው ስኧብኧርእንኣችኧውእ
ከምሰብራችሁ ክኧምእስኧብእርኣችእህኡ
ኣትስበረኝ እኣትእስእብኧርኧኝእ
እንስበርለት እእንእስእብኧርእልኧትእ
ሰባብሪ ስኧብኣብእርኢ
እንድትሰባብሪኝ እእንእድእትእስኧብኣብእርኢኝእ
እንሰብርዎታለን እእንእስኧብእርእውኦትኣልኧንእ
ኣልሰባብርሽ እኣልእስኧብኣብእርእሽእ
እስክትሰብር እእስእክእትእስኧብእርእ
ስትሰብሩን ስእትእስኧብእርኡንእ
ሰባብሬያችሁ ስኧብኣብእርኤይኣችእህኡ
ብትሰባብረኝ ብእትእስኧብኣብእርኧኝእ
ስበርበት ስእብኧርእብኧትእ
ኣትሰብሯት እኣትእስኧብእሯትእ
ልስበርላት ልእስእብኧርእልኣትእ
እንድንሰብራቸው እእንእድእንእስኧብእርኣችኧውእ
ኣትስበሩት እኣትእስእብኧርኡትእ
ኣትሰብረን እኣትእስኧብእርኧንእ
ከምትሰብሩልን ክኧምእትእስኧብእርኡልእንእ
ብትሰብሩት ብእትእስኧብእርኡትእ
እንድሰባብራት እእንእድእስኧብኣብእርኣትእ
ኣትሰብሩያዋቸው እኣትእስኧብእርኡይኣውኣችኧውእ
እንደሰበርኩዎት እእንእድኧስኧብኧርእክኡውኦትእ
ኣትሰባብረን እኣትእስኧብኣብእርኧንእ
ሰብራችሁት ስኧብእርኣችእህኡትእ
እስክትሰባብሪያቸው እእስእክእትእስኧብኣብእርኢይኣችኧውእ
ከምሰባብርዎት ክኧምእስኧብኣብእርእውኦትእ
እስክትሰብሪላት እእስእክእትእስኧብእርኢልኣትእ
ሰበርሽባቸው ስኧብኧርእሽእብኣችኧውእ
እስክትሰብርባት እእስእክእትእስኧብእርእብኣትእ
ስትሰባብሪያቸው ስእትእስኧብኣብእርኢይኣችኧውእ
እንድሰብርህ እእንእድእስኧብእርእህእ
ስንሰባብርህ ስእንእስኧብኣብእርእህእ
እስክንሰብርልህ እእስእክእንእስኧብእርእልእህእ
ሰበርሻት ስኧብኧርእሽኣትእ
ከምትሰባብሯት ክኧምእትእስኧብኣብእሯትእ
ሰበራችሁበት ስኧብኧርኣችእህኡብኧትእ
ልንሰብረው ልእንእስኧብእርኧውእ
ኣልሰበርኩ እኣልእስኧብኧርእክኡ
ኣትሰባብሩኝም እኣትእስኧብኣብእርኡኝእምእ
ብትሰባብረን ብእትእስኧብኣብእርኧንእ
ሰበርሽላቸው ስኧብኧርእሽእልኣችኧውእ
እስክትሰብሩባቸው እእስእክእትእስኧብእርኡብኣችኧውእ
እንድሰባብርዎት እእንእድእስኧብኣብእርእውኦትእ
ከምሰባብረው ክኧምእስኧብኣብእርኧውእ
ኣልሰብራችሁ እኣልእስኧብእርኣችእህኡ
ሰብረናቸዋል ስኧብእርኧንኣችኧውኣልእ
